Acura|17042|15527|14915|15313|14704|16079|12244|16823|10250|12773|14852|16206|13561||67642
Alfa Romeo|40|25|48|75|54|65|44|57|67|49|53|60|44||273
Audi|18428|18262|17654|18794|17340|17700|16700|20399|11850|11718|18392|17801|18728||78489
BMW|31003|32176|26970|27755|26608|29439|32003|34625|18082|22498|30033|24951|29017||124581
Buick|20062|17531|20791|22281|18341|18660|15960|20708|18269|17811|18207|17720|15625||87632
Cadillac|14408|13515|14154|15738|14908|15391|13390|20787|10740|11840|13053|11236|12099||58968
Chevrolet|207970|181256|188790|183098|170675|183464|156907|188794|137803|158644|176283|183442|169331||825503
Chrysler|29802|30809|25722|25580|27250|27801|23953|24292|18214|21056|26236|22843|24276||112625
Dodge|45268|43457|37649|42386|45170|46612|38938|49256|42109|47251|51149|43575|42837||226921
Fiat|3867|3137|3235|3388|3398|3757|3029|3805|2594|2993|3422|3045|3137||15191
Ford|240912|216355|212478|225244|212589|204620|178971|226746|165301|208006|243375|219963|224941||1061586
GMC|50657|47051|48777|49363|47386|45478|43039|59941|36933|39530|44585|47159|43395||211602
Honda|137551|118870|131409|140178|119046|115572|103197|134070|90247|106212|123369|132623|133547||585998
Hyundai|63610|67502|71013|72012|64015|60005|60007|63508|45011|53009|75310|62213|71006||306549
Infiniti|10474|9985|10433|10635|10220|11143|11694|15093|8514|10371|13775|10432|10828||53920
Jaguar|1204|1217|1242|1143|995|998|1065|1197|1352|1512|2133|1087|2164||8248
Jeep|79652|71529|73216|80804|77201|73561|68903|89654|59032|68228|82337|84298|90545||384440
Kia|62433|54137|56311|58897|49820|50044|45553|54241|38305|49737|58279|56508|62926||265755
Land Rover|5382|4643|5011|5225|5855|7199|6539|8441|5655|6417|8733|5188|4950||30943
Lexus|29671|26121|29816|33487|25294|26436|29340|41380|20933|23090|30198|24882|26682||125785
Lincoln|9174|8326|9536|8636|8680|8485|7918|10860|7177|8039|9689|9776|9807||44488
Mazda|29606|27223|27157|29938|25616|25451|22732|29294|19703|21544|23396|26195|28328||119166
Mercedes-Benz|32352|30486|29689|30633|31337|31751|32813|38249|26563|25210|31236|31825|32147||146981
MINI|5833|6174|5191|5109|4414|4087|4444|5009|3238|2839|4762|4796|4595||20230
Mitsubishi|9575|7963|7868|8289|7556|7426|6772|7887|6264|7870|11078|9674|9025||43911
Nissan|124305|114243|120439|122716|111562|104904|95389|124207|97220|120540|149784|113429|122668||603641
Porsche|4268|4223|4730|5008|4424|4070|4450|3936|4354|3561|4323|5410|4578||22226
Ram|43598|36078|38157|49439|39946|43749|41107|50463|33021|43302|49990|45810|43613||215736
Scion|4806|3838|3865|3895|6510|6270|5183|5513|5099|5882|7261|6640|6659||31541
smart|837|774|441|617|750|721|662|669|399|422|479|466|420||2186
Subaru|49561|44335|50517|52697|53070|51629|46070|56274|41101|42011|49285|50380|50083||232860
Toyota|208102|179953|183500|186999|162595|171339|154994|191457|135251|158982|182383|179603|185998||842217
Volkswagen|34758|30436|31300|32332|26141|30387|23882|30956|20079|22321|26914|27112|28779||125205
Volvo|5023|5985|5619|5869|5527|7422|6902|9341|4244|5260|6857|6169|5536||28066
