Acura,,,,,,,,,,,,,,,,1.0%
Alfa Romeo,,,,,,,,,,,,,,,,0.0%
Audi,,,,,,,,,,,,,,,,1.1%
BMW,,,,,,,,,,,,,,,,1.8%
Buick,,,,,,,,,,,,,,,,1.2%
Cadillac,,,,,,,,,,,,,,,,0.8%
Chevrolet,,,,,,,,,,,,,,,,11.6%
Chrysler,,,,,,,,,,,,,,,,1.6%
Dodge,,,,,,,,,,,,,,,,3.2%
Fiat,,,,,,,,,,,,,,,,0.2%
Ford,,,,,,,,,,,,,,,,14.9%
GMC,,,,,,,,,,,,,,,,3.0%
Honda,,,,,,,,,,,,,,,,8.2%
Hyundai,,,,,,,,,,,,,,,,4.3%
Infiniti,,,,,,,,,,,,,,,,0.8%
Jaguar,,,,,,,,,,,,,,,,0.1%
Jeep,,,,,,,,,,,,,,,,5.4%
Kia,,,,,,,,,,,,,,,,3.7%
Land Rover,,,,,,,,,,,,,,,,0.4%
Lexus,,,,,,,,,,,,,,,,1.8%
Lincoln,,,,,,,,,,,,,,,,0.6%
Mazda,,,,,,,,,,,,,,,,1.7%
Mercedes-Benz,,,,,,,,,,,,,,,,2.1%
MINI,,,,,,,,,,,,,,,,0.3%
Mitsubishi,,,,,,,,,,,,,,,,0.6%
Nissan,,,,,,,,,,,,,,,,8.5%
Porsche,,,,,,,,,,,,,,,,0.3%
Ram,,,,,,,,,,,,,,,,3.0%
Scion,,,,,,,,,,,,,,,,0.4%
smart,,,,,,,,,,,,,,,,0.0%
Subaru,,,,,,,,,,,,,,,,3.3%
Toyota,,,,,,,,,,,,,,,,11.8%
Volkswagen,,,,,,,,,,,,,,,,1.8%
Volvo,,,,,,,,,,,,,,,,0.4%
